####################################
#### Fichier de traduction OMEGA ###
####################################
# Vous pouvez modifier ce fichier si les traductions par défaut ne conviennent pas, SAUF l'anglais.
# ATTENTION : si modification, alors il peut y avoir des erreurs il faut toujours respecter le nombre de ";" par ligne.
# ATTENTION : Ne pas modifier le 1er mot qui est en anglais
# English;Français;Español;Portugais
#
# ATTENTION : si 2 mots possèdent ne serait-ce qu'un caractère différent (ex : majuscule, un 's' à la fin, un espace..) alors 
# il s'agit de 2 mots différents et donc 2 traductions différentes donc il faut bien traduire les 2 mots dans les langues
# que l'on souhaite.
#
If you add a new TVA, please click on 'Save' button to select it as the default value.;Si une nouvelle TVA a été ajoutée, merci de cliquer sur le bouton sauvegarder pour la voir dans les listes par defaut.;Si usted agrega un nuveo TVA, por favor haga clic ; en el botón 'Guardar' para seleccionarlo como el valor predeterminado; 
File;Fichier;Archivo;
Open;Ouvrir;Abrir;
New;Nouveau;Nuevo;
Home Page;Page d'accueil;Página de inicio;
Save;Sauvegarder;Guardar;
Save as;Sauvegarder sous;Guardar como;
Upload data;téléverser les données vers la pédagothèque;Carga de datos;
Import data;Importer des données;Importar datos;
Export data;Exporter des données;Exportar datos;
Edit;Editer;Editar;
Exit;Quitter;Salir;
Help;Aide;Ayuda;
About;Info;Info;
Add;Ajouter;Agregar;
Module;Module;Modulo;
Delete;Supprimer;Borrrar;
Remove;Supprimer;Eliminar;
Modify;Modifier;Modificar;
Change;Changer;Cambiar;
Language;Langue;Idioma;
Add Module;Ajouter un module;Agregar módulo;
Delete Module;Supprimer un module;Borrar módulo;
Modify Module;Modifier un module;Modificar módulo;
Name;Nom;Nombre;
Cancel;Annuler;Cancelar;
OK;OK;OK;
Class;Classe;Clase;
Project;Projet;Proyecto;
Method;Méthode;Método;
Module 1;Module 1;Módulo 1;
Browse...;Rechercher...;Buscar…;
Run custom module;Lancer un module personnalisé;Ejecutar módulo personalizado;
Run external program;Lancer un programme externe;Ejecutar programa externo;
Products;Produits;Productos;
Product;Produit;Producto;
Units; Unités;Unidades;
Charges;Charges;Cargas;
Cost;Charge;Costo;
Externalites;Externalités;Externalidades;
Data management;Gestion des données ;Manejo de datos;
Dictionary definition,Définition des dictionnaires;Diccionario de definiciones;
Phases;Phases;Fases;
Calendars;Calendriers;Calendario;
Cancel modification;Annuler la modification;Cancelar modificación;
Validate Data;Valider les données;Validar datos;
Duplicate;Dupliquer;Duplicar;
Category;Catégorie;Categoría;
Price;Prix;Precio;
Farm;Exploitation Agricole;Finca
Region;Region;Región;
Activity;Activité;Actividad;
VAT Form;TVA;Formulario de IVA;
General information;Informations générales;Información General;
Charges;Charges;Cargos;
Externalites;Externalités;Externalidades;
Products;Produits;Productos;
Dictionary of Villages;Dictionnaire des Villages;Diccionario de Aldeas;
Dictionary of site occupation;Dictionnaire des types d'occupation;Diccionario de tipos de ocupacion;
Dictionary of sub  occupation site;Dictionnaire des sous types d'occupation;Diccionario de subtipos de ocupación;
Calendars Template;Modèle de calendrier;Modelos de calendarios;
Change Language;Changer de langue;Cambio de idioma;
Dictionary defintion;Définition des dictionnaires;Diccionario de definición;
Immo;Immo;Activo fijo;
Default;Valeur par défaut;Valores por defecto;
VAT;TVA;IVA;
Product Form;Produits;Productos;
Item;Poste;ítem;
Balance;Bilan;Balance;
Farm account;CEG;Cuenta de la finca;
Products value;Recette Produits;Valor de los productos;
Supplies expense;Dépenses Appro;Gasto de suministros;
Fixed Costs;Charges de structure;Costos fijos;
Misc Expenses;Dépenses diverses;Gastos varios;
Misc Incomes;Recettes diverses;Ingresos varios netos;
Misc incomes;Recettes diverses;Ingresos varios netos;
Misc Revenues;Recettes diverses;Ingresos varios;
Family Expenses;Dépenses Familiales;Gastos Familiares;
Family Incomes;Recettes Familiales;Ingresos Familiares netos;
Family Revenues;Recettes Familiales;Ingresos Familiares;
Variables;Variables;Variables;
Indicators;Indicateurs;Indicadores;
Quantity;Quantité;Cantidad;
Product Quantity;Quantité de Produits;Cantidad de producto;
Cost Quantity;Quantité de Charges;Costo Cantidad;
Product Price;Prix du Produit;Precio Producto;
Cost Price;Prix de la Charge;Precio de costo;
Fixed Assets;Immobilisation;Activos Fijos;
Loan;Emprunt;Préstamo;
LT Loan;Emprunt LT;Préstamo LT;
ST Loan;Emprunt CT;Préstamo ST;
Private Loan;Emprunt privé;Préstamo privado;
Subsidy;Subvention;Subsidios;
